City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Puerto Escondido,MX,15.85,-97.0667,81.28,85,83,7.56,broken clouds
120,Khorixas,NA,-20.3667,14.9667,61.9,53,65,2.35,broken clouds
121,Nikolskoye,RU,59.7035,30.7861,46.29,96,100,11.77,moderate rain
122,Waingapu,ID,-9.6567,120.2641,85.46,62,37,10.8,scattered clouds
123,Kapaa,US,22.0752,-159.319,83.48,60,30,4.0,scattered clouds
124,Hilo,US,19.7297,-155.09,83.25,89,34,1.01,scattered clouds
125,Alofi,NU,-19.0595,-169.9187,75.38,80,26,14.52,light rain
126,Kyra,RU,49.5776,111.9753,59.45,44,6,4.21,clear sky
127,Kansk,RU,56.2017,95.7175,58.15,94,100,6.51,light rain
128,Mount Gambier,AU,-37.8333,140.7667,53.51,87,100,11.5,light rain
129,Port Hardy,CA,50.6996,-127.4199,64.58,77,20,8.05,few clouds
130,Bubaque,GW,11.2833,-15.8333,79.63,81,100,15.61,light rain
131,Poronaysk,RU,49.2167,143.1167,65.79,77,11,14.54,few clouds
132,Richards Bay,ZA,-28.783,32.0377,57.65,72,96,4.59,overcast clouds
133,Manado,ID,1.487,124.8455,88.57,66,40,2.3,scattered clouds
134,Bredasdorp,ZA,-34.5322,20.0403,55.29,57,100,5.93,light rain
135,Khatanga,RU,71.9667,102.5,36.52,96,100,15.88,overcast clouds
136,Along,IN,28.1667,94.7667,75.0,99,100,0.4,overcast clouds
137,Sungaipenuh,ID,-2.0833,101.3833,73.8,78,100,0.38,overcast clouds
138,Rawson,AR,-43.3002,-65.1023,54.86,45,0,7.87,clear sky
139,Santa Fe,AR,-31.6333,-60.7,69.01,61,44,3.0,scattered clouds
140,Kodiak,US,57.79,-152.4072,56.71,94,100,8.05,light rain
141,Minas,UY,-34.3759,-55.2377,57.79,79,100,10.45,overcast clouds
142,Itaituba,BR,-4.2761,-55.9836,82.76,41,100,1.86,overcast clouds
143,San-Pedro,CI,4.7485,-6.6363,73.18,96,100,9.04,light rain
144,Borovoy,RU,55.4333,86.0833,60.08,94,40,2.24,scattered clouds
145,Trinidad,BO,-14.8333,-64.9,76.57,39,0,3.6,clear sky
146,Jamestown,US,42.097,-79.2353,71.19,62,0,11.5,clear sky
147,Fortuna,US,40.5982,-124.1573,61.93,91,0,12.66,clear sky
148,Souillac,MU,-20.5167,57.5167,62.98,88,20,5.75,few clouds
149,Constitucion,CL,-35.3333,-72.4167,50.95,87,71,8.68,broken clouds
150,Stornoway,GB,58.2093,-6.3865,44.56,100,0,1.14,clear sky
151,Llanes,ES,43.4198,-4.7549,67.53,83,100,2.01,overcast clouds
152,Hithadhoo,MV,-0.6,73.0833,81.23,73,26,17.4,scattered clouds
153,Nanortalik,GL,60.1432,-45.2371,40.42,80,100,9.73,overcast clouds
154,Karimganj,IN,24.8667,92.35,79.39,91,100,1.54,overcast clouds
155,Ancud,CL,-41.8697,-73.8203,46.22,94,84,7.4,broken clouds
156,Inverell,AU,-29.7833,151.1167,73.67,47,12,3.0,few clouds
157,Deputatskiy,RU,69.3,139.9,52.41,56,90,4.68,overcast clouds
158,Mount Isa,AU,-20.7333,139.5,82.17,42,96,12.66,overcast clouds
159,Lebu,CL,-37.6167,-73.65,48.9,92,50,11.63,scattered clouds
160,Kailua,US,21.4022,-157.7394,87.03,67,20,13.8,few clouds
161,Vao,NC,-22.6667,167.4833,70.86,71,61,19.73,broken clouds
162,Sisimiut,GL,66.9395,-53.6735,35.2,78,73,11.9,broken clouds
163,Mantua,IT,45.1667,10.7833,69.35,85,99,1.99,overcast clouds
164,Kiama,AU,-34.6833,150.8667,70.25,70,26,7.0,scattered clouds
165,Asau,RO,46.4333,26.4,61.72,89,93,2.66,light rain
166,Kutum,SD,14.2,24.6667,73.02,74,45,4.56,scattered clouds
167,Birjand,IR,32.8663,59.2211,61.75,25,0,10.27,clear sky
168,Chicaman,GT,15.4,-90.7667,60.55,98,100,1.28,overcast clouds
169,Cedar City,US,37.6775,-113.0619,83.39,16,37,3.0,scattered clouds
170,Hongjiang,CN,27.11,109.9956,80.13,54,70,3.96,broken clouds
171,Caravelas,BR,-17.7125,-39.2481,68.27,69,35,8.84,scattered clouds
172,Coquimbo,CL,-29.9533,-71.3436,53.33,76,100,3.44,overcast clouds
173,Ranir Bazar,IN,23.8333,91.3667,85.91,84,75,6.91,mist
