City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
347,Mackay,AU,77.68,scattered clouds,-21.15,149.2,International Lodge Motel
350,Meulaboh,ID,79.21,overcast clouds,4.1363,96.1285,Kost Pria
351,Kavaratti,IN,77.31,overcast clouds,10.5669,72.642,Green leaf
353,Makakilo City,US,84.56,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
357,Ko Samui,TH,83.8,overcast clouds,9.5357,99.9357,The Passage
359,Ahuimanu,US,85.75,few clouds,21.4447,-157.8378,Paradise Bay Resort
360,Atar,MR,79.39,moderate rain,20.5169,-13.0499,Oumou Elghoura
366,Ugoofaaru,MV,80.83,overcast clouds,5.6667,73.0,Ungoofaaru Inn
367,Fort-Shevchenko,KZ,78.26,clear sky,44.5086,50.263,Oasis hotel Bautino
369,Sinnamary,GF,78.15,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
370,Timizart,DZ,75.67,broken clouds,36.8,4.2667,TOUATI LOTFI
379,Mogadishu,SO,75.11,clear sky,2.0371,45.3438,Hotel Juba
382,Daru,PG,80.67,overcast clouds,-9.0763,143.2092,Daru Lodge
392,Adrar,MR,84.52,clear sky,20.5022,-10.0711,
395,Kieta,PG,83.98,light rain,-6.2167,155.6333,Uruna Bay Retreat
396,Marawi,PH,80.92,broken clouds,7.9986,124.2928,Derogongan Residence
400,Najran,SA,76.3,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
401,San Policarpo,PH,87.24,overcast clouds,12.1791,125.5072,Agapita M. Nicart
402,Cairns,AU,86.07,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
403,Acarau,BR,77.58,overcast clouds,-2.8856,-40.12,castelo pizzaria
406,Sampit,ID,87.1,scattered clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
411,Neiafu,TO,75.4,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
414,Ishigaki,JP,82.53,heavy intensity shower rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
416,Hanna,CA,77.54,clear sky,51.6334,-111.9018,West View Motel
417,Taloda,IN,80.42,moderate rain,21.5667,74.2167,Coldrink
423,Finschhafen,PG,85.12,moderate rain,-6.6024,147.8681,Cossam Guest House
425,Sakaiminato,JP,75.4,overcast clouds,35.55,133.2333,Italian pasley
429,Karratha,AU,78.51,broken clouds,-20.7377,116.8463,ibis Styles Karratha
430,Coari,BR,75.94,few clouds,-4.085,-63.1414,Dellrey Hotel Center
433,Doha,QA,89.58,clear sky,25.2867,51.5333,Mövenpick Doha
435,Gorontalo,ID,87.46,moderate rain,0.5412,123.0595,Maqna Hotel by Prasanthi
443,Mindelo,CV,78.35,scattered clouds,16.8901,-24.9804,Hotel Gaudi
445,Thanh Hoa,VN,85.57,overcast clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
